Epoch,Train Loss,Train Accuracy,Train BBox MSE,Val Loss,Val Accuracy,Val BBox MSE
1,10.81686848935073,13.003569607343191,8.003704820343149,0.033937836198934486,16.458569807037456,0.033937836198934486
2,2.6236315199999307,17.14686384497705,0.038639817462582896,0.03340755083731243,16.11804767309875,0.03340755083731243
3,2.5317206673505828,19.96430392656808,0.04089410182058326,0.04499278190944876,25.198637911464246,0.04499278190944876
4,2.465923045708881,22.99847016828149,0.04250016581357979,0.03881037873881204,22.36095346197503,0.03881037873881204
5,2.4089876771942387,23.865374808771037,0.03807659056491968,0.03130036911794117,26.787741203178207,0.03130036911794117
6,2.380656374179251,24.120346761856197,0.038646766673622095,0.03325228060462645,22.587968217934165,0.03325228060462645
7,2.3514471810038495,25.45894951555329,0.036247662442728756,0.034342399931379726,29.05788876276958,0.034342399931379726
8,2.3107276428036574,26.28760836308006,0.03581256269500023,0.04000276353742395,25.53916004540295,0.04000276353742395
9,2.2517265701681617,27.52422233554309,0.03391496803823525,0.038127269462815354,24.6311010215664,0.038127269462815354
10,2.2437927848924466,28.76083630800612,0.03628087767619428,0.03268459465886865,32.46311010215664,0.03268459465886865
11,2.2270579212080173,28.90107088220296,0.03534672044338734,0.03696340761546578,27.35527809307605,0.03696340761546578
12,2.160453388361427,30.991840897501273,0.03759606653536723,0.03036644948380334,34.16572077185017,0.03036644948380334
13,2.130111112827208,31.61652218255992,0.03352175780185839,0.03229615970381668,38.47900113507378,0.03229615970381668
14,2.0933104724418827,33.337582865884755,0.03315385064579607,0.030396967461066588,32.00908059023836,0.030396967461066588
15,2.0638796730739313,34.026007139214684,0.03186223543877524,0.031675483765346665,32.46311010215664,0.031675483765346665
16,2.025510758888431,35.12238653748088,0.032873194891868567,0.029387806010033404,35.414301929625424,0.029387806010033404
17,1.9878922729957393,37.225905150433455,0.031176445596828695,0.03231748938560486,31.66855845629966,0.03231748938560486
18,1.9666497300310832,37.27689954105048,0.0309255036366422,0.02981797619057553,40.40862656072645,0.02981797619057553
19,1.9371372441935346,37.863335033146356,0.029458747010647764,0.028592209198645184,40.862656072644725,0.028592209198645184
20,1.880400664438077,39.954105048444674,0.02811107577044305,0.029542313356484686,40.52213393870601,0.029542313356484686
21,1.8501771426782376,41.114227434982155,0.027890271257336546,0.027007631824484894,43.70034052213394,0.027007631824484894
22,1.8080664902198604,42.287098419173894,0.027608468825739575,0.02696506665753467,41.20317820658343,0.02696506665753467
23,1.7786223161511305,42.72055073941866,0.02736061031559134,0.02829410202269043,42.22474460839955,0.02829410202269043
24,1.7724278864821768,44.492605813360534,0.026965382940522056,0.02881073153444699,39.727582292849036,0.02881073153444699
25,1.7281015772160475,44.79857215706272,0.027053847000366303,0.028346792395625795,42.90578887627696,0.028346792395625795
26,1.6790931156980313,46.53238143804182,0.027196022386594517,0.027389149314590862,43.70034052213394,0.027389149314590862
27,1.631596875384571,48.3299337072922,0.02718339949785694,0.02737669620130743,42.111237230419974,0.02737669620130743
